subject	de_de_novo	de_inh_carrier	de_inh_non_carrier	splicing_de_novo	splicing_inh_carrier	splicing_inh_non_carrier	outliers	ase	ase_cadd	eqtl
SG001	762	2697	1500	799	2562	979	284	139	5	9
SG021	1024	3156	1479	366	1918	2114	480	154	5	7
SG022	1704	2200	3407	157	160	3193	186	201	3	6
SG023	2185	2583	1924	283	1575	3420	118	121	2	9
SG026	968	1016	2685	202	71	2713	409	160	5	6
SG155	1818	2868	1374	476	1763	2819	615	169	2	11
SG037	675	2362	1517	703	68	2419	312	145	3	11
SG038	977	1657	1019	245	1270	3449	129	140	4	8
SG041	830	2315	3474	364	1173	1915	178	110	3	10
SG042	893	3600	3273	693	1515	1361	342	186	1	6
SG148	1761	1592	1214	185	468	3386	195	179	2	8
SG149	1964	2672	2503	759	2	1922	145	196	5	7
SG150	1646	2204	2331	330	46	3625	465	174	3	7
