Cell	WGCNAcluster	Name	Age_in_Weeks	RegionName	Laminae	Area	cell type
Hi_GW21_4.Hi_GW21_4	Glyc	Sample1	19.0	Cortex	All	0	Glycolysis
Hi_GW21_5.Hi_GW21_5	tRG	Sample1	19.0	Cortex	All	0	Truncated Radial Glia
Hi_GW21_8.Hi_GW21_8	RG-div1	Sample1	19.0	Cortex	All	0	Dividing Radial Glia (G2/M-phase)
Hi_GW21_1.Hi_GW21_1	nEN-early2	Sample1	19.0	Cortex	All	0	Newborn Excitatory Neuron - early born
Hi_GW21_2.Hi_GW21_2	nEN-early2	Sample1	19.0	Cortex	All	0	Newborn Excitatory Neuron - early born
Hi_GW21_3.Hi_GW21_3	nEN-late	Sample1	19.0	Cortex	All	0	Newborn Excitatory Neuron - late born
Hi_GW21_7.Hi_GW21_7	EN-V1-2	Sample1	19.0	Cortex	All	0	Early and Late Born Excitatory Neuron V1
Hi_GW21_6.Hi_GW21_6	EN-V1-2	Sample1	19.0	Cortex	All	0	Early and Late Born Excitatory Neuron V1
Hi_GW16_11.Hi_GW16_11	vRG	Sample2	14.0	Cortex	SVZ	0	Ventricular Radial Glia
Hi_GW16_3.Hi_GW16_3	RG-div2	Sample2	14.0	Cortex	SVZ	0	Dividing Radial Glia (S-phase)
Hi_GW16_4.Hi_GW16_4	RG-div2	Sample2	14.0	Cortex	SVZ	0	Dividing Radial Glia (S-phase)
Hi_GW16_1.Hi_GW16_1	nEN-early2	Sample2	14.0	Cortex	SVZ	0	Newborn Excitatory Neuron - early born
Hi_GW16_10.Hi_GW16_10	IN-CTX-CGE1	Sample2	14.0	Cortex	SVZ	0	CGE/LGE-derived inhibitory neurons
Hi_GW16_2.Hi_GW16_2	IN-CTX-CGE1	Sample2	14.0	Cortex	SVZ	0	CGE/LGE-derived inhibitory neurons
Hi_GW16_8.Hi_GW16_8	nEN-late	Sample2	14.0	Cortex	SVZ	0	Newborn Excitatory Neuron - late born
Hi_GW16_9.Hi_GW16_9	IN-CTX-CGE2	Sample2	14.0	Cortex	SVZ	0	CGE/LGE-derived inhibitory neurons
Hi_GW16_13.Hi_GW16_13	vRG	Sample2	14.0	Cortex	VZ	0	Ventricular Radial Glia
Hi_GW16_14.Hi_GW16_14	IPC-div2	Sample2	14.0	Cortex	VZ	0	Intermediate Progenitor Cells RG-like
Hi_GW16_15.Hi_GW16_15	RG-div2	Sample2	14.0	Cortex	VZ	0	Dividing Radial Glia (S-phase)
Hi_GW16_16.Hi_GW16_16	oRG	Sample2	14.0	Cortex	VZ	0	Outer Radial Glia
Hi_GW16_17.Hi_GW16_17	tRG	Sample2	14.0	Cortex	VZ	0	Truncated Radial Glia
Hi_GW16_18.Hi_GW16_18	RG-div2	Sample2	14.0	Cortex	VZ	0	Dividing Radial Glia (S-phase)
Hi_GW16_20.Hi_GW16_20	tRG	Sample2	14.0	Cortex	VZ	0	Truncated Radial Glia
Hi_GW16_25.Hi_GW16_25	tRG	Sample2	14.0	Cortex	VZ	0	Truncated Radial Glia
Hi_GW16_12.Hi_GW16_12	nEN-early2	Sample2	14.0	Cortex	VZ	0	Newborn Excitatory Neuron - early born
Hi_GW16_19.Hi_GW16_19	nEN-late	Sample2	14.0	Cortex	VZ	0	Newborn Excitatory Neuron - late born
Hi_GW16_24.Hi_GW16_24	IPC-nEN1	Sample2	14.0	Cortex	VZ	0	Intermediate Progenitor Cells EN-like
Hi_GW16_26.Hi_GW16_26	IN-CTX-CGE1	Sample2	14.0	Cortex	VZ	0	CGE/LGE-derived inhibitory neurons
Hi_GW16_21.Hi_GW16_21	nEN-early2	Sample2	14.0	Cortex	VZ	0	Newborn Excitatory Neuron - early born
O1.A1	tRG	Sample3	18.5	Cortex	VZ	V1	Truncated Radial Glia
O1.B1	IPC-nEN1	Sample3	18.5	Cortex	VZ	V1	Intermediate Progenitor Cells EN-like
O1.C1	IPC-div2	Sample3	18.5	Cortex	VZ	V1	Intermediate Progenitor Cells RG-like
O1.D1	IPC-div1	Sample3	18.5	Cortex	VZ	V1	Dividing Intermediate Progenitor Cells RG-like
O1.E1	tRG	Sample3	18.5	Cortex	VZ	V1	Truncated Radial Glia
O1.F1	nEN-early2	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - early born
O1.G1	OPC	Sample3	18.5	Cortex	VZ	V1	Oligodendrocyte progenitor cell
O1.H1	tRG	Sample3	18.5	Cortex	VZ	V1	Truncated Radial Glia
O1.A2	IPC-div2	Sample3	18.5	Cortex	VZ	V1	Intermediate Progenitor Cells RG-like
O1.C2	IN-CTX-MGE2	Sample3	18.5	Cortex	VZ	V1	MGE-derived Ctx inhibitory neuron, Cortical Plate-enriched
O1.D2	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
O1.E2	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
O1.F2	tRG	Sample3	18.5	Cortex	VZ	V1	Truncated Radial Glia
O1.G2	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
O1.B3	nEN-early2	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - early born
O1.C3	nEN-early2	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - early born
O1.D3	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
O1.E3	Mural	Sample3	18.5	Cortex	VZ	V1	Mural/Pericyte
O1.A4	nEN-early2	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - early born
O1.B4	IPC-div2	Sample3	18.5	Cortex	VZ	V1	Intermediate Progenitor Cells RG-like
O1.C4	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
O1.D4	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
O1.E4	IPC-div1	Sample3	18.5	Cortex	VZ	V1	Dividing Intermediate Progenitor Cells RG-like
O1.F4	IPC-nEN3	Sample3	18.5	Cortex	VZ	V1	Intermediate Progenitor Cells EN-like
O1.G4	RG-div1	Sample3	18.5	Cortex	VZ	V1	Dividing Radial Glia (G2/M-phase)
O1.B5	IN-CTX-MGE1	Sample3	18.5	Cortex	VZ	V1	MGE-derived Ctx inhibitory neuron, Germinal Zone Enriched
O1.C5	IPC-div1	Sample3	18.5	Cortex	VZ	V1	Dividing Intermediate Progenitor Cells RG-like
O1.E5	IN-CTX-MGE1	Sample3	18.5	Cortex	VZ	V1	MGE-derived Ctx inhibitory neuron, Germinal Zone Enriched
O1.F5	IN-CTX-CGE2	Sample3	18.5	Cortex	VZ	V1	CGE/LGE-derived inhibitory neurons
O1.G5	IPC-nEN3	Sample3	18.5	Cortex	VZ	V1	Intermediate Progenitor Cells EN-like
O1.B6	IPC-nEN1	Sample3	18.5	Cortex	VZ	V1	Intermediate Progenitor Cells EN-like
O1.C6	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
O1.D6	nEN-early2	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - early born
O1.E6	oRG	Sample3	18.5	Cortex	VZ	V1	Outer Radial Glia
O1.F6	nEN-early2	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - early born
O1.G6	nEN-early2	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - early born
O1.C7	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
O1.E7	nEN-late	Sample3	18.5	Cortex	VZ	V1	Newborn Excitatory Neuron - late born
