ensembl	database
ENSG00000186092	
ENSG00000235249	
ENSG00000185097	
ENSG00000187634	SFARI_Gene
ENSG00000188976	
ENSG00000187961	Purcell_Schiz
ENSG00000187583	
ENSG00000188290	
ENSG00000187608	
ENSG00000188157	
ENSG00000237330	
ENSG00000131591	
ENSG00000162571	
ENSG00000186891	
ENSG00000186827	
ENSG00000078808	Purcell_Schiz
ENSG00000176022	DDDG2P
ENSG00000160087	
ENSG00000162572	
ENSG00000131584	
ENSG00000169972	
ENSG00000169962	
ENSG00000107404	DDDG2P;Purcell_Schiz
ENSG00000162576	
ENSG00000175756	
ENSG00000221978	
ENSG00000242485	
ENSG00000235098	
ENSG00000205116	
ENSG00000179403	
ENSG00000215915	
ENSG00000160072	
ENSG00000197785	DDDG2P
ENSG00000205090	
ENSG00000160075	
ENSG00000197530	
ENSG00000189409	
ENSG00000248333	
ENSG00000189339	Purcell_Schiz
ENSG00000008128	
ENSG00000215790	Purcell_Schiz
ENSG00000008130	
ENSG00000078369	DBD;DDDG2P;Purcell_Schiz
ENSG00000169885	
ENSG00000178821	
ENSG00000187730	
ENSG00000067606	
ENSG00000157933	DDDG2P;Purcell_Schiz
ENSG00000116151	
ENSG00000157916	
ENSG00000157911	Developmental_delay_DDD;DDDG2P
ENSG00000149527	
ENSG00000157881	
ENSG00000197921	
ENSG00000157873	
ENSG00000157870	
ENSG00000142606	
ENSG00000215912	
ENSG00000169717	
ENSG00000142611	Purcell_Schiz
ENSG00000130762	
ENSG00000162591	
ENSG00000158109	
ENSG00000116213	
ENSG00000078900	
ENSG00000162592	
ENSG00000235169	
ENSG00000130764	Purcell_Schiz
ENSG00000116198	DBD;DDDG2P
ENSG00000169598	
ENSG00000198912	
ENSG00000196581	Purcell_Schiz
ENSG00000131697	DDDG2P
ENSG00000069424	
ENSG00000116254	
ENSG00000116251	
ENSG00000158286	
ENSG00000116237	
ENSG00000173673	
ENSG00000158292	Purcell_Schiz
ENSG00000097021	
ENSG00000069812	
ENSG00000187017	Purcell_Schiz
ENSG00000215788	Purcell_Schiz
ENSG00000171680	Purcell_Schiz
ENSG00000162408	
ENSG00000173662	
ENSG00000204859	
ENSG00000162413	
ENSG00000116273	
ENSG00000041988	
ENSG00000007923	
ENSG00000171735	DBD;DDDG2P;Purcell_Schiz
ENSG00000049245	
ENSG00000049246	
ENSG00000049247	
ENSG00000049249	
ENSG00000116288	
ENSG00000116285	
ENSG00000162426	DDDG2P;Purcell_Schiz
ENSG00000142599	Developmental_delay_DDD;DDDG2P;SFARI_Gene;Purcell_Schiz
ENSG00000074800	Purcell_Schiz
ENSG00000131686	SFARI_Gene
ENSG00000197241	
ENSG00000142583	
ENSG00000180758	
ENSG00000049239	
ENSG00000171621	
ENSG00000171612	
ENSG00000188807	Purcell_Schiz
ENSG00000171608	
ENSG00000171603	
ENSG00000178585	
ENSG00000162441	
ENSG00000173614	DDDG2P
ENSG00000162444	
ENSG00000130939	
ENSG00000054523	
ENSG00000142657	Purcell_Schiz
ENSG00000241563	
ENSG00000160049	
ENSG00000142655	Developmental_delay_DDD;DDDG2P
ENSG00000130940	DBD;SFARI_Gene
ENSG00000175262	
ENSG00000120948	
ENSG00000009724	
ENSG00000116649	
ENSG00000171824	
ENSG00000198793	DDDG2P;SFARI_Gene;Purcell_Schiz
ENSG00000171819	
ENSG00000120942	
ENSG00000116661	
ENSG00000132879	
ENSG00000116663	
ENSG00000116670	
ENSG00000162490	
ENSG00000177674	
ENSG00000215910	
ENSG00000177000	DDDG2P;SFARI_Gene
ENSG00000011021	
ENSG00000175206	
ENSG00000120937	
ENSG00000116685	
ENSG00000083444	DDDG2P
ENSG00000116688	
ENSG00000116691	
ENSG00000120949	
ENSG00000028137	
ENSG00000048707	
ENSG00000162496	DDDG2P
ENSG00000204518	
ENSG00000188984	
ENSG00000157330	
ENSG00000116726	
ENSG00000116721	
ENSG00000204513	
ENSG00000179172	
ENSG00000120952	
ENSG00000243073	
ENSG00000187545	
ENSG00000204510	
ENSG00000232423	
ENSG00000204508	
ENSG00000229571	
ENSG00000204502	
ENSG00000182330	
ENSG00000204501	
ENSG00000204495	
ENSG00000204491	
ENSG00000157358	
ENSG00000204481	
ENSG00000204480	
ENSG00000204479	
ENSG00000204478	
ENSG00000162494	
ENSG00000162493	
ENSG00000116731	
ENSG00000189337	
ENSG00000171729	
ENSG00000204464	
ENSG00000142621	
ENSG00000142634	Purcell_Schiz
ENSG00000162438	
ENSG00000142615	
