contig	start	stop	name	aCount	bCount	totalCount	log2_aFC	subject	samp
15	85923802	86292586	ENSG00000170776.15	1043	792	1835	0.39716682244	SG042	S60
12	68383225	68628466	ENSG00000255733.1	19	53	72	-1.47999294112	SG027	S22
1	16944751	16961054	ENSG00000215908.5	97	32	129	1.5999128421899995	SG037	S54
2	242673994	242708226	ENSG00000180902.12	138	210	348	-0.6057210608879999	SG040	S50
21	46305868	46351904	ENSG00000160255.12	1004	670	1674	0.583526268606	SG039	S74
16	11773016	11830089	ENSG00000153066.8	20	56	76	-1.4854268271700002	SG025	S10
X	152713124	152760978	ENSG00000213397.6	24	2	26	3.58496250072	SG022	S11
15	63900817	64126141	ENSG00000103657.9	160	226	386	-0.498250867528	SG043	S62
3	45596886	45727830	ENSG00000144791.5	317	422	739	-0.412760158568	SG040	S50
7	128577666	128590089	ENSG00000128604.14	265	190	455	0.47999294112	SG043	S62
17	40253422	40264751	ENSG00000108771.8	136	49	185	1.47275299714	SG024	S13
1	150702672	150738433	ENSG00000163131.6	285	404	689	-0.5033933736999999	SG155	S41
20	60962172	60963576	ENSG00000171858.13	41	7	48	2.55019708256	SG027	S22
19	41903385	41930910	ENSG00000248098.6	178	79	257	1.17195268279	SG021	S15
22	42321045	42322822	ENSG00000159958.3	362	276	638	0.391321430305	SG152	S68
6	25963030	25987384	ENSG00000112343.8	8	41	49	-2.35755200462	SG044	S63
22	45064593	45133561	ENSG00000186654.16	9	43	52	-2.25633975326	SG002	S7
11	124932963	124958376	ENSG00000134955.7	151	231	382	-0.613344302091	SG002	S31
6	133135580	133138703	ENSG00000112306.7	1020	1191	2211	-0.223604261005	SG026	S18
X	119561682	119603220	ENSG00000005893.11	15	68	83	-2.18057224564	SG003	S27
12	118470712	118500235	ENSG00000176871.4	142	88	230	0.6903155008670001	SG039	S74
16	23847322	24231932	ENSG00000166501.8	261	367	628	-0.491730256273	SG037	S78
21	43916118	44001550	ENSG00000160190.9	272	196	468	0.472752997135	SG069	S24
8	145618458	145634753	ENSG00000071894.10	79	40	119	0.98185265329	SG045	S56
8	144349603	144359101	ENSG00000250571.2	119	184	303	-0.628744192749	SG148	S71
12	113376157	113411054	ENSG00000111331.8	900	1445	2345	-0.683072586171	SG043	S85
1	86115106	86174116	ENSG00000117174.6	19	50	69	-1.3959286763299998	SG040	S73
X	71549366	71792953	ENSG00000147099.15	1	25	26	-4.64385618977	SG031	S95
19	16177831	16213813	ENSG00000167460.10	344	200	544	0.782408564927	SG031	S95
5	131817301	131826490	ENSG00000125347.9	167	239	406	-0.517162515507	SG002	S31
11	2316875	2324279	ENSG00000110665.7	32	0	32	inf	SG041	S59
11	87846410	87908635	ENSG00000123892.7	46	92	138	-1.0	SG040	S49
X	153172821	153193873	ENSG00000089820.11	91	147	238	-0.691877704638	SG044	S63
14	92980118	93155339	ENSG00000100599.11	217	149	366	0.542382711982	SG044	S87
17	79633664	79640934	ENSG00000185298.8	256	163	419	0.651271845769	SG038	S52
4	185261909	185275130	ENSG00000180712.3	71	29	100	1.2917661243799998	SG043	S61
19	1065922	1086593	ENSG00000180448.6	1044	1288	2332	-0.303010881545	SG042	S84
1	150190717	150208504	ENSG00000143401.10	85	42	127	1.0170735133600002	SG152	S70
19	50936160	50969578	ENSG00000086967.9	48	5	53	3.26303440583	SG152	S68
19	36195429	36207940	ENSG00000011590.9	316	440	756	-0.477578965348	SG043	S62
4	39289076	39367995	ENSG00000035928.10	33	99	132	-1.58496250072	SG021	S15
11	75110530	75133324	ENSG00000149273.10	478	587	1065	-0.296349885129	SG030	S43
15	78570177	78592136	ENSG00000140395.4	41	81	122	-0.982297998267	SG045	S79
11	5710919	5757680	ENSG00000132274.11	474	365	839	0.376990595131	SG037	S77
12	9848414	9848823	ENSG00000213443.2	27	8	35	1.75488750216	SG152	S68
17	45810610	45823485	ENSG00000073861.2	4	25	29	-2.64385618977	SG149	S66
2	219135115	219211516	ENSG00000127838.9	28	83	111	-1.5676845092899998	SG002	S31
1	213025450	213031430	ENSG00000198468.3	32	6	38	2.41503749928	SG069	S47
22	36649056	36663576	ENSG00000100342.16	550	407	957	0.434402824146	SG151	S64
3	121350246	121379774	ENSG00000180353.6	836	1117	1953	-0.418054338402	SG155	S42
16	89940014	89977792	ENSG00000141002.14	197	274	471	-0.475980263504	SG024	S36
7	64126511	64171404	ENSG00000196247.7	92	32	124	1.52356195606	SG043	S61
2	228029281	228179508	ENSG00000169031.14	20	91	111	-2.18586654531	SG043	S62
6	43193367	43197222	ENSG00000112667.8	146	80	226	0.8678964639929999	SG151	S88
19	42037566	42038534	ENSG00000268355.1	12	0	12	inf	SG011	S32
19	3750878	3761697	ENSG00000011132.7	169	107	276	0.659412449881	SG042	S60
1	1247058	1260071	ENSG00000127054.14	224	155	379	0.531230516783	SG037	S54
16	70190243	70207224	ENSG00000247228.2	55	107	162	-0.960107272876	SG026	S17
4	2794750	2842825	ENSG00000087266.11	350	442	792	-0.33669144755900005	SG043	S62
10	45869661	45941561	ENSG00000012779.6	248	167	415	0.570492017913	SG045	S56
5	304291	438406	ENSG00000063438.12	712	586	1298	0.280976576544	SG039	S75
19	50922195	50934570	ENSG00000269404.2	169	102	271	0.7284540943109999	SG155	S19
X	134382867	134478012	ENSG00000186376.10	5	33	38	-2.72246602447	SG022	S12
12	121570622	121623876	ENSG00000089041.12	89	49	138	0.861023586851	SG151	S65
X	100264335	100307105	ENSG00000188917.10	53	19	72	1.47999294112	SG003	S3
22	42905974	42915808	ENSG00000189306.6	66	116	182	-0.813586875769	SG041	S58
7	150060866	150068244	ENSG00000240449.1	251	166	417	0.596504122604	SG022	S35
4	38968365	39034542	ENSG00000121895.7	42	15	57	1.4854268271700002	SG006	S28
